Part,Mass_g
"M2_4mm_countersunk-10",0.114
"Battery_3S-1",53.518
"Cubli.step-4",9.959
"Main board adapter-1",2.019
"Charger.step-2",1.077
"M2_4mm_SHCS-1",0.215
"M3_8mm_countersunk-6",0.459
"Encoder_MA702-1",0.326
"MAD_4006_EEE_brushless_motor-2",73.600
"Motor_mount-3",19.037
"encoder_spacer_flyrotor-3",0.140
"CornerCube_print-4",0.498
"Plate_Motor_Side-4",13.489
"HIGH-PULL RARE EARTH MAGNETIC DISC-2",0.100
"Brake topper-1",0.184
"Brake pads-1",0.862
"Plate_Side-8",10.129
"M5 bearing-1",0.074
"Brake mount-1",1.067
"Spring_5.0mm-3",0.029
"Brake_motor_mount-7",5.800
"Emax ES08A-2",7.164
"Brake_motor_mount_mirror-1",5.800
"Servo_ellipse-3",0.848
"battery_mount-1",4.823
"M3_10mm_countersunk-6",0.539
"flywheel-1",92.683
"Flywheel_bearing_coupler-1",0.419
"M2_4.7mm_standoff-2",0.141
